Best players (from last to best):

1:	45	epsilon = 0.7, 	trained vs Self 		10000	epochs
2:	45	epsilon = 0.3, 	trained vs RandomvsSelf 	10000	epochs
3:	45	epsilon = 0.5, 	trained vs Self 		10000	epochs
4:	50	epsilon = 1.0, 	trained vs SelfvsRandom 	10000	epochs
5:	50	epsilon = 0.8, 	trained vs RandomvsSelf 	10000	epochs
6:	50	epsilon = 0.3, 	trained vs Random 		10000	epochs
7:	50	epsilon = 0.5, 	trained vs RandomvsSelf 	10000	epochs
8:	50	epsilon = 0.5, 	trained vs Random 		10000	epochs
9:	60	epsilon = 1.0, 	trained vs RandomvsSelf 	10000	epochs
10:	60	epsilon = 0.9, 	trained vs Random 		10000	epochs
11:	60	epsilon = 0.8, 	trained vs Random 		10000	epochs
12:	60	epsilon = 0.7, 	trained vs SelfvsRandom 	10000	epochs
13:	65	epsilon = 0.6, 	trained vs Self 		10000	epochs
14:	80	epsilon = 0.6, 	trained vs SelfvsRandom 	10000	epochs
15:	85	epsilon = 0.5, 	trained vs SelfvsRandom 	10000	epochs
16:	95	epsilon = 0.7, 	trained vs RandomvsSelf 	10000	epochs
17:	95	epsilon = 0.1, 	trained vs SelfvsRandom 	10000	epochs
18:	100	epsilon = 0.1, 	trained vs Random 		10000	epochs
19:	100	epsilon = 0.6, 	trained vs Random 		10000	epochs
20:	105	epsilon = 0.7, 	trained vs Random 		10000	epochs
21:	110	epsilon = 0.9, 	trained vs SelfvsRandom 	10000	epochs
22:	115	epsilon = 0.1, 	trained vs Self 		10000	epochs
23:	120	epsilon = 1.0, 	trained vs Self 		10000	epochs
24:	120	epsilon = 0.6, 	trained vs RandomvsSelf 	10000	epochs
25:	125	epsilon = 0.3, 	trained vs SelfvsRandom 	10000	epochs
26:	135	epsilon = 0.4, 	trained vs Self 		10000	epochs
27:	140	epsilon = 1.0, 	trained vs Random 		10000	epochs
28:	140	epsilon = 0.9, 	trained vs Self 		10000	epochs
29:	140	epsilon = 0.9, 	trained vs RandomvsSelf 	10000	epochs
30:	140	epsilon = 0.4, 	trained vs SelfvsRandom 	10000	epochs
31:	140	epsilon = 0.2, 	trained vs SelfvsRandom 	10000	epochs
32:	140	epsilon = 0.3, 	trained vs Self 		10000	epochs
33:	145	epsilon = 0.8, 	trained vs SelfvsRandom 	10000	epochs
34:	145	epsilon = 0.1, 	trained vs RandomvsSelf 	10000	epochs
35:	165	epsilon = 0.2, 	trained vs Self 		10000	epochs
36:	180	epsilon = 0.8, 	trained vs Self 		10000	epochs
37:	180	epsilon = 0.4, 	trained vs Random 		10000	epochs
38:	220	epsilon = 0.2, 	trained vs RandomvsSelf 	10000	epochs
39:	245	epsilon = 0.4, 	trained vs RandomvsSelf 	10000	epochs
40:	260	epsilon = 0.2, 	trained vs Random 		10000	epochs
